Pslack,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,Bus 10,Bus 11,System Loss
27.387,5.5936,24.282,12.321,1.959,2.887,7.6042,2.3199,0.90219,1.5724,3.4799,3.8407,0.64564
19.415,4.9375,21.434,10.876,1.7293,2.5484,6.7123,2.0478,0.79638,1.388,3.0717,3.3903,0.50311
7.3343,3.939,17.099,8.6766,1.3795,2.033,5.3548,1.6337,0.63531,1.1073,2.4505,2.7046,0.34073
-4.4918,2.9561,12.833,6.5117,1.0353,1.5258,4.0187,1.2261,0.4768,0.83099,1.8391,2.0298,0.24466
-17.251,1.8899,8.204,4.163,0.66189,0.97542,2.5692,0.78382,0.30482,0.53126,1.1757,1.2977,0.21124
-21.841,1.5048,6.5325,3.3148,0.52704,0.77669,2.0457,0.62413,0.24272,0.42302,0.93619,1.0333,0.21714
-20.308,1.6336,7.0914,3.5984,0.57213,0.84313,2.2208,0.67752,0.26348,0.45921,1.0163,1.1217,0.21411
-5.5666,2.8666,12.444,6.3144,1.004,1.4795,3.8969,1.1889,0.46235,0.80581,1.7833,1.9683,0.23903
22.851,5.2206,22.663,11.5,1.8284,2.6945,7.0971,2.1652,0.84203,1.4675,3.2478,3.5846,0.5611
47.546,7.247,31.46,15.964,2.5381,3.7404,9.852,3.0057,1.1689,2.0372,4.5085,4.9761,1.0644
70.026,9.0645,39.349,19.967,3.1747,4.6785,12.323,3.7595,1.462,2.5481,5.6392,6.224,1.8568
87.748,10.491,45.541,23.109,3.6742,5.4147,14.262,4.3511,1.6921,2.9491,6.5266,7.2034,2.5497
94.026,10.993,47.722,24.216,3.8502,5.674,14.945,4.5594,1.7731,3.0903,6.8392,7.5484,2.8315
98.319,11.336,49.21,24.971,3.9702,5.8508,15.411,4.7016,1.8284,3.1866,7.0523,7.7837,3.034
101.55,11.593,50.327,25.538,4.0604,5.9837,15.761,4.8083,1.8699,3.259,7.2125,7.9605,3.1917
107.35,12.055,52.329,26.553,4.2219,6.2217,16.388,4.9996,1.9443,3.3886,7.4994,8.2771,3.4862
109.07,12.192,52.926,26.856,4.27,6.2927,16.575,5.0566,1.9665,3.4273,7.585,8.3715,3.5749
113.03,12.506,54.287,27.547,4.3799,6.4545,17.001,5.1867,2.017,3.5154,7.78,8.5868,3.7872
115.75,12.721,55.223,28.022,4.4554,6.5658,17.294,5.2761,2.0518,3.576,7.9142,8.7349,3.9373
110.94,12.34,53.57,27.183,4.322,6.3693,16.776,5.1182,1.9904,3.469,7.6773,8.4734,3.6744
96.099,11.159,48.441,24.58,3.9082,5.7594,15.17,4.6281,1.7998,3.1368,6.9422,7.6621,2.9283
